titulo_livro,avaliacao,preco_em_reais,estoque
A Light in the Attic,3,326.83,In stock
Tipping the Velvet,1,339.27,In stock
Soumission,1,316.29,In stock
Sharp Objects,4,301.89,In stock
Sapiens: A Brief History of Humankind,5,342.36,In stock
The Requiem Red,1,142.99,In stock
The Dirty Little Secrets of Getting Your Dream Job,4,210.48,In stock
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",3,113.19,In stock
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,4,142.68,In stock
The Black Maria,1,329.23,In stock
"Starving Hearts (Triangular Trade Trilogy, #1)",2,88.32,In stock
Shakespeare's Sonnets,4,130.43,In stock
Set Me Free,5,110.23,In stock
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),5,330.11,In stock
Rip it Up and Start Again,5,221.09,In stock
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",3,361.43,In stock
Olio,1,150.76,In stock
Mesaerion: The Best Science Fiction Stories 1800-1849,1,237.31,In stock
Libertarianism for Beginners,2,324.05,In stock
It's Only the Himalayas,2,285.16,In stock
In Her Wake,1,81.06,In stock
How Music Works,2,235.61,In stock
"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",3,192.68,In stock
Chase Me (Paris Nights #2),5,159.53,In stock
Black Dust,5,217.99,In stock
Birdsong: A Story in Pictures,3,344.95,In stock
America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,3,142.05,In stock
Aladdin and His Wonderful Lamp,3,335.42,In stock
Worlds Elsewhere: Journeys Around Shakespeareâs Globe,5,254.42,In stock
Wall and Piece,4,278.91,In stock
The Four Agreements: A Practical Guide to Personal Freedom,5,111.49,In stock
The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,3,196.02,In stock
The Elephant Tree,5,150.38,In stock
The Bear and the Piano,1,232.89,In stock
Sophie's World,5,100.63,In stock
Penny Maybe,3,210.16,In stock
Maude (1883-1993):She Grew Up with the country,2,113.76,In stock
"In a Dark, Dark Wood",1,123.93,In stock
Behind Closed Doors,4,329.67,In stock
You can't bury them all: Poems,2,212.31,In stock
Slow States of Collapse: Poems,3,361.81,In stock
Reasons to Stay Alive,2,166.73,In stock
Private Paris (Private #10),5,300.57,In stock
